GeneSet,Term,Coef,P_value,CI_low,CI_high,Adj_P
PLC_PKC,"C3_C5_Signaling_score:C(disease, Treatment('HC'))[T.UC]",0.007842908409207799,0.5074044467018464,-0.015349309035242096,0.031035125853657693,0.5854666692713612
JAK_STAT,Intercept,-0.026053529236460028,1.8097847859054934e-07,-0.03583135072759833,-0.01627570774532173,5.817165383267658e-07
JAK_STAT,"C(disease, Treatment('HC'))[T.BD]",0.049983994955000256,3.686011681811065e-09,0.03339210066502593,0.06657588924497458,1.3269642054519834e-08
JAK_STAT,"C(disease, Treatment('HC'))[T.CD]",0.08053289099433283,2.273241908559523e-33,0.06748853436514946,0.09357724762351621,1.8599251979123371e-32
JAK_STAT,"C(disease, Treatment('HC'))[T.Colitis]",0.0064415768002788285,0.6723172576511429,-0.023411566575126053,0.036294720175683706,0.7290187131156971
JAK_STAT,"C(disease, Treatment('HC'))[T.UC]",0.008716690023383999,0.18290225342214134,-0.004111654771227753,0.021545034817995752,0.2655032710966568
JAK_STAT,C3_C5_Signaling_score,0.07886996505468458,2.163207463238494e-08,0.05128642561923351,0.10645350449013564,7.210691544128314e-08
JAK_STAT,"C3_C5_Signaling_score:C(disease, Treatment('HC'))[T.BD]",-0.027861658226490692,0.25662562055559135,-0.07600420366960388,0.020280887216622495,0.34994402803035185
JAK_STAT,"C3_C5_Signaling_score:C(disease, Treatment('HC'))[T.CD]",0.11349753371530868,7.31650421413244e-11,0.07939699484741698,0.1475980725832004,3.135644663199617e-10
JAK_STAT,"C3_C5_Signaling_score:C(disease, Treatment('HC'))[T.Colitis]",-0.008646730337010827,0.8741439612204698,-0.11565434484100467,0.09836088416698302,0.9204097818908198
JAK_STAT,"C3_C5_Signaling_score:C(disease, Treatment('HC'))[T.UC]",-0.024400945132508338,0.1933672893432363,-0.06117303564133622,0.012371145376319545,0.27623898477605185
JNK_Pathway,Intercept,-0.010867063958299217,0.0014278154914223527,-0.017544470533445627,-0.004189657383152806,0.0031342291275124816
JNK_Pathway,"C(disease, Treatment('HC'))[T.BD]",0.005098975441023406,0.3777216168734938,-0.006231853632346284,0.016429804514393097,0.46568418518649923
JNK_Pathway,"C(disease, Treatment('HC'))[T.CD]",0.0038756139447800866,0.3937665586158132,-0.005032553667320962,0.012783781556881136,0.4789052739922053
JNK_Pathway,"C(disease, Treatment('HC'))[T.Colitis]",-0.03749800888628099,0.00031367864800985087,-0.05788512436434343,-0.01711089340821856,0.0007429231137075416
JNK_Pathway,"C(disease, Treatment('HC'))[T.UC]",-0.00837930657149595,0.060837965362524817,-0.01713995677946099,0.0003813436364690885,0.10320623175361057
JNK_Pathway,C3_C5_Signaling_score,0.02099255867867343,0.028951124397767505,0.002155386435447198,0.03982973092189966,0.05109021952547207
JNK_Pathway,"C3_C5_Signaling_score:C(disease, Treatment('HC'))[T.BD]",-0.038517947191936276,0.021669398298088376,-0.07139514276944572,-0.005640751614426821,0.039004916936559074
JNK_Pathway,"C3_C5_Signaling_score:C(disease, Treatment('HC'))[T.CD]",0.012101738119235862,0.3083811721531554,-0.011185981201357654,0.03538945743982938,0.3964900784826284
JNK_Pathway,"C3_C5_Signaling_score:C(disease, Treatment('HC'))[T.Colitis]",-0.04103464415960022,0.2710361759714181,-0.11411159175240371,0.03204230343320327,0.3640784453347407
JNK_Pathway,"C3_C5_Signaling_score:C(disease, Treatment('HC'))[T.UC]",-0.011686686648427633,0.3616479371145842,-0.036798844726590826,0.013425471429735557,0.45205992139323026
p38_Pathway,Intercept,-0.027785629844011613,8.635249814720022e-13,-0.035388130433371696,-0.02018312925465153,4.317624907360011e-12
p38_Pathway,"C(disease, Treatment('HC'))[T.BD]",0.031531033459357635,1.6925431135598603e-06,0.018630420962754846,0.04443164595596043,5.077629340679581e-06
p38_Pathway,"C(disease, Treatment('HC'))[T.CD]",0.008577521315005368,0.09738989254901285,-0.0015647919856688047,0.01871983461567954,0.15651947016805637
p38_Pathway,"C(disease, Treatment('HC'))[T.Colitis]",0.01261713937292085,0.28665543545174016,-0.010594425729945942,0.03582870447578764,0.3793968998625973
p38_Pathway,"C(disease, Treatment('HC'))[T.UC]",0.010624298998382253,0.0368305680855446,0.0006499402979355338,0.020598657698828973,0.06374521399421182
p38_Pathway,C3_C5_Signaling_score,-0.0034850135600508585,0.7500838755439456,-0.024931904874717397,0.01796187775461568,0.803661295225656
p38_Pathway,"C3_C5_Signaling_score:C(disease, Treatment('HC'))[T.BD]",0.02008012353598026,0.29302233304091374,-0.01735190878699415,0.05751215585895467,0.382203043096844
p38_Pathway,"C3_C5_Signaling_score:C(disease, Treatment('HC'))[T.CD]",0.037303892388581644,0.0058301419916914074,0.010789871133887803,0.06381791364327549,0.01140679954896145
p38_Pathway,"C3_C5_Signaling_score:C(disease, Treatment('HC'))[T.Colitis]",-0.004714754715645272,0.9115520616369803,-0.08791584946562953,0.07848634003433899,0.9217942196329014
p38_Pathway,"C3_C5_Signaling_score:C(disease, Treatment('HC'))[T.UC]",0.011925547871599832,0.413581158305135,-0.016665671554806468,0.04051676729800613,0.49629738996616196
C3_C5_Signaling,Intercept,6.626643678231403e-16,3.827422562308114e-242,6.25169995147767e-16,7.001587404985136e-16,5.741133843462172e-241
C3_C5_Signaling,"C(disease, Treatment('HC'))[T.BD]",-1.6202317265623378e-15,0.0,-1.6838555786098016e-15,-1.556607874514874e-15,0.0
C3_C5_Signaling,"C(disease, Treatment('HC'))[T.CD]",-1.497933721505973e-15,0.0,-1.5479540628681406e-15,-1.4479133801438053e-15,0.0
C3_C5_Signaling,"C(disease, Treatment('HC'))[T.Colitis]",-3.122502256758253e-17,0.5928708737717288,-1.4570091929603398e-16,8.325087416086892e-17,0.6669797329931949
C3_C5_Signaling,"C(disease, Treatment('HC'))[T.UC]",-6.557254739192331e-16,1.9629585910525156e-143,-7.04917488824934e-16,-6.065334590135322e-16,2.5238039027818056e-142
C3_C5_Signaling,C3_C5_Signaling_score,1.000000000000001,0.0,1.000000000000001,1.000000000000001,0.0
C3_C5_Signaling,"C3_C5_Signaling_score:C(disease, Treatment('HC'))[T.BD]",4.163336342344337e-17,0.6584352815872703,-1.429757074233837e-16,2.2624243427027044e-16,0.7226728700348088
C3_C5_Signaling,"C3_C5_Signaling_score:C(disease, Treatment('HC'))[T.CD]",-2.220446049250313e-16,0.0008770574462120948,-3.528077114004938e-16,-9.128149844956886e-17,0.0019733792539772133
